experiment,env,seed,horizon,model,one_step_rmse,symplecticity_defect,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
dynamics_rollout,harmonic_oscillator,0,1,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,5.345847548458228e-10,1.8737156777643406e-05,1.8737156777643406e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,3.1618174419930726e-09,0.0001736217261824178,0.00017292664125344176,0.0
dynamics_rollout,harmonic_oscillator,0,25,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,5.918500631987449e-09,0.0004465624163492647,0.0004101595298756518,0.0
dynamics_rollout,harmonic_oscillator,0,50,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,1.334568063811085e-08,0.0005324312513893655,0.0002187329103593181,0.0
dynamics_rollout,harmonic_oscillator,0,100,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,2.474229190643698e-08,0.0005274169021721628,0.00041057063931898883,0.0
dynamics_rollout,harmonic_oscillator,0,250,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,5.477538546728098e-08,0.0005241575957764316,2.5311688607356837e-05,0.0
dynamics_rollout,harmonic_oscillator,0,500,SG-Ham+Symp,9.391364982829782e-10,6.972417525306178e-12,9.12387168346646e-08,0.0005168447349654307,4.98622126787061e-05,0.0
dynamics_rollout,harmonic_oscillator,0,1,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,1.9054114589626702e-08,1.8740939115284103e-05,1.8740939115284103e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,1.3743239267401845e-07,0.00017371737312549035,0.0001730170390068192,0.0
dynamics_rollout,harmonic_oscillator,0,25,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,3.530831569582208e-07,0.00044620584018112696,0.0004099570866530953,0.0
dynamics_rollout,harmonic_oscillator,0,50,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,7.613302893883362e-07,0.000533134715440444,0.00021954117173430838,0.0
dynamics_rollout,harmonic_oscillator,0,100,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,1.4669722072905352e-06,0.0005308756574194264,0.0004137631939002205,0.0
dynamics_rollout,harmonic_oscillator,0,250,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,3.27765299245258e-06,0.0005341597514372675,2.3869042527691182e-05,0.0
dynamics_rollout,harmonic_oscillator,0,500,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,5.402054384651875e-06,0.0005321570872140053,5.106298675948036e-05,0.0
