experiment,topology,seed,train_sizes,test_size,model,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
graph_size_transfer,chain,0,4+8+16,32,SG-Ham+Symp,1.652494867878489e-09,0.000800934041713115,0.0005471419124337456,0.0
graph_size_transfer,chain,0,4+8+16,64,SG-Ham+Symp,1.5724191626913843e-09,0.0008328772888842997,0.0005560214382263526,0.0
graph_size_transfer,chain,0,4+8+16,128,SG-Ham+Symp,1.5913113213920573e-09,0.0008406286992384791,0.0005588934846516917,0.0
graph_size_transfer,chain,0,4+8+16,256,SG-Ham+Symp,1.5636290604777562e-09,0.0008673197325999796,0.0005919287223223945,0.0
graph_size_transfer,chain,0,4+8+16,32,DirectGraphNext,0.00022499621861143943,0.0008138606166433648,0.0005877153290295631,0.0
graph_size_transfer,chain,0,4+8+16,64,DirectGraphNext,0.00022438557190631532,0.0008464703994411907,0.0005957208944259649,0.0
graph_size_transfer,chain,0,4+8+16,128,DirectGraphNext,0.00022932899697190282,0.0008585307976686468,0.0006039194437443514,0.0
graph_size_transfer,chain,0,4+8+16,256,DirectGraphNext,0.0002348101900577501,0.0008784798683788064,0.0006312191701862065,0.0
graph_size_transfer,chain,0,4+8+16,32,GraphEuler,0.00022499811664920423,0.0008138091757042768,0.0005875421554777888,0.0
graph_size_transfer,chain,0,4+8+16,64,GraphEuler,0.00022438514193016235,0.0008464413732561695,0.0005955663457863123,0.0
graph_size_transfer,chain,0,4+8+16,128,GraphEuler,0.00022932744145803073,0.0008585038842840052,0.0006037718008069582,0.0
graph_size_transfer,chain,0,4+8+16,256,GraphEuler,0.0002348091018908389,0.0008784567052113653,0.0006310938566557939,0.0
graph_size_transfer,chain,0,4+8+16,32,SympNoGraph,0.6883044847907448,0.07675012686778133,0.027551302692458524,0.0
graph_size_transfer,chain,0,4+8+16,64,SympNoGraph,0.669362285141324,0.05391930581086907,0.016105562598360997,0.0
graph_size_transfer,chain,0,4+8+16,128,SympNoGraph,0.6775414680341422,0.04431317968150885,0.01759268090305807,0.0
graph_size_transfer,chain,0,4+8+16,256,SympNoGraph,0.6933158801788479,0.044839449523251626,0.011202655283429345,0.0
graph_size_transfer,grid,0,4x4,64,SG-Ham+Symp,1.0680488721560165e-09,0.0012993702745179834,0.0006981260537400567,0.0
graph_size_transfer,grid,0,4x4,256,SG-Ham+Symp,9.850674179422272e-10,0.0013735086118633498,0.0007158802392504067,0.0
graph_size_transfer,grid,0,4x4,64,DirectGraphNext,0.0006649691770330126,0.0012940593622165445,0.0006297665563210051,0.0
graph_size_transfer,grid,0,4x4,256,DirectGraphNext,0.000718880752230321,0.0013534780442660535,0.000621205283454159,0.0
graph_size_transfer,grid,0,4x4,64,GraphEuler,0.0006649685184678611,0.0012940555265017965,0.0006297332019762903,0.0
graph_size_transfer,grid,0,4x4,256,GraphEuler,0.0007188768868710476,0.001353481948910766,0.0006212179116736139,0.0
graph_size_transfer,grid,0,4x4,64,SympNoGraph,0.8240014690563134,0.04756762568366476,0.04019454417607791,0.0
graph_size_transfer,grid,0,4x4,256,SympNoGraph,0.8429698637536372,0.08326805633146188,0.08116151628572087,0.0
graph_size_transfer,chain,1,4+8+16,32,SG-Ham+Symp,1.6128811819723272e-09,0.0008776600247713845,0.0005940330472292791,0.0
graph_size_transfer,chain,1,4+8+16,64,SG-Ham+Symp,1.5611001377505277e-09,0.0008470380428247215,0.0005523184261361301,0.0
graph_size_transfer,chain,1,4+8+16,128,SG-Ham+Symp,1.5940227068363587e-09,0.0008737513711949302,0.0005893172569194164,0.0
graph_size_transfer,chain,1,4+8+16,256,SG-Ham+Symp,1.5794982249476188e-09,0.0008391274161147668,0.0005534664461477548,0.0
graph_size_transfer,chain,1,4+8+16,32,DirectGraphNext,0.00023149168639494296,0.0008661690248463859,0.0005392289904068368,0.0
graph_size_transfer,chain,1,4+8+16,64,DirectGraphNext,0.00022582586067679294,0.0008379763148666331,0.0005032519265163135,0.0
graph_size_transfer,chain,1,4+8+16,128,DirectGraphNext,0.0002392953814858093,0.0008658762417916967,0.0005405181229062389,0.0
graph_size_transfer,chain,1,4+8+16,256,DirectGraphNext,0.00023115007307349247,0.000827996910083877,0.000499825944661844,0.0
graph_size_transfer,chain,1,4+8+16,32,GraphEuler,0.000231489891555468,0.0008661382486015147,0.0005390616285786256,0.0
graph_size_transfer,chain,1,4+8+16,64,GraphEuler,0.00022582183140373461,0.0008379485613049488,0.0005030986898494348,0.0
