experiment,env,seed,budget,model,planning_horizon,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,1,-32.63197296723413,5.2158929993375205,0.3305458939637959,0.03000021734604078,-1.8029144843723088e-10,0.3906500812756744,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,5,-47.05551733767944,8.766704302118665,0.18237262314607908,0.06699378725326163,-1.4808811954480916e-09,1.1341154427848805,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,10,-23.121855588035988,5.353734791793505,0.09860904737437907,0.03294707120397821,-1.4536515694866618e-09,1.1309222010086364,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,20,-27.164763313901375,8.148576881556968,0.19382100240678726,0.06947311059985661,-1.160295311682565e-08,2.7739469527179685,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,30,-51.52416918271961,21.38466838785847,0.3924486559389854,0.21837003543644776,1.4023594137787162e-08,4.206145340110346,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,1,-32.65826325910229,5.203523982898009,0.33169618285244246,0.029215110238520303,1.0858173208857144e-05,0.39069351734690566,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,5,-47.04657687901423,8.76040000930307,0.18213875447545816,0.06678319465391884,0.00015323456370290126,1.1342417564713332,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,10,-23.121855588035988,5.353734791793505,0.09860904737437907,0.03294707120397821,5.558416877808151e-05,1.1309549960345535,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,20,-27.138173730093246,8.159800561895594,0.19497035938055743,0.06904667183811174,0.0012109209944085226,2.7744144990843522,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,30,-51.51667294107711,21.38719847186988,0.39213129799991303,0.21847150900891954,0.000209310563238733,4.206213880658422,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,1,-32.65826325910229,5.203523982898009,0.33169618285244246,0.029215110238520303,1.08509462835397e-05,0.3906934859028701,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,5,-47.04657687901423,8.76040000930307,0.18213875447545816,0.06678319465391884,0.00015311512008879072,1.1342416285696795,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,10,-23.121855588035988,5.353734791793505,0.09860904737437907,0.03294707120397821,5.53088615770451e-05,1.1309548107778427,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,20,-27.138173730093246,8.159800561895594,0.19497035938055743,0.06904667183811174,0.0012103236440899796,2.774414283182974,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,30,-51.51667294107711,21.38719847186988,0.39213129799991303,0.21847150900891954,0.00020566770649062724,4.20621305749207,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,1,-34.66590758059133,8.69716825597964,0.2772353483263607,0.04848714809966836,-1.1979602495178673e-10,0.40606745665941135,0.0
