experiment,env,seed,budget,model,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate,rollout_rmse,max_energy_drift
ablation,coupled_oscillator_stabilization,0,512,DenseLinearNext,-36.24348345689871,8.721708559949839,0.9347511058326838,0.29292174265027565,5.628344816432929e-06,1.9087197407628593,0.0,1.743796476795428e-06,0.0008822924885265997
ablation,coupled_oscillator_stabilization,0,512,DirectGraphNext,-36.24348345689871,8.721708559949839,0.9347511058326838,0.29292174265027565,0.0004995389589068644,1.909062561644923,0.0,0.00022365531026272037,0.0008868022859559045
ablation,coupled_oscillator_stabilization,0,512,SympNoGraph,-36.8557847195637,8.501840650815979,0.9562090230188065,0.2992237846978896,1.22728932743918,2.2800870267167412,0.0,0.6729157244692733,0.15656412830997296
ablation,coupled_oscillator_stabilization,0,512,GraphEuler,-36.24348345689871,8.721708559949839,0.9347511058326838,0.29292174265027565,0.0004991269495064898,1.9090623041607953,0.0,0.00022364292706265792,0.0008866292693171487
ablation,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,-36.24348345689871,8.721708559949839,0.9347511058326838,0.29292174265027565,0.006019086129081863,1.9109645931490664,0.0,0.003072212800981463,0.0018807327521305002
ablation,spring_chain_target,0,512,DenseLinearNext,-9.331528961042148,2.0932421986670215,0.05758155518552836,0.016272162383398753,1.3499660922455803e-06,0.4872776399324663,0.0,6.756306071708244e-06,0.0011199292926683622
ablation,spring_chain_target,0,512,DirectGraphNext,-9.329928838926936,2.09219883373428,0.05734094652091169,0.01613773151386704,-2.7902155640191495e-05,0.4873511873559099,0.0,0.00014637287621249194,0.0011219793261253892
ablation,spring_chain_target,0,512,SympNoGraph,-9.319030071754234,2.0673309799242974,0.056258080269139164,0.017261865625603272,-0.01972082610796455,0.30184575002613057,0.0,0.44041941028454523,0.17028634303466142
ablation,spring_chain_target,0,512,GraphEuler,-9.329928838926936,2.09219883373428,0.05734094652091169,0.01613773151386704,-2.79528904366666e-05,0.48735158954213564,0.0,0.00014627570065102363,0.0011209085725513326
ablation,spring_chain_target,0,512,SG-Ham+Symp,-9.32860733964766,2.0925101628048286,0.05756573610286185,0.01626300712415758,-0.0006894999177113892,0.4838923624054896,0.0,0.001896474740187256,0.002295273753014101
ablation,coupled_oscillator_stabilization,1,512,DenseLinearNext,-18.999557383081452,5.7186170106496546,0.49189723104978156,0.18544695178751064,2.6634133047931385e-06,1.2436448413407883,0.0,1.7394791459959615e-06,0.0007759617437735586
ablation,coupled_oscillator_stabilization,1,512,DirectGraphNext,-18.99860092404412,5.718597121870336,0.493389160623647,0.18514476256116874,5.173634170607677e-05,1.2436720715654643,0.0,0.00023372913176534683,0.0007262516685908243
ablation,coupled_oscillator_stabilization,1,512,SympNoGraph,-19.162943088752634,5.777305640041799,0.5119537104308511,0.18513699096891173,-0.05491264846468291,1.1296057310651852,0.0,0.7022069724229438,0.1701074600901193
ablation,coupled_oscillator_stabilization,1,512,GraphEuler,-18.99860092404412,5.718597121870336,0.493389160623647,0.18514476256116874,5.140144693527304e-05,1.2436718704521548,0.0,0.00023372522587911267,0.0007260472041512303
ablation,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,-18.99860092404412,5.718597121870336,0.49338916062364707,0.1851447625611687,0.00040404978516273005,1.2434726332918413,0.0,0.001782251845115412,0.001349093167563729
ablation,spring_chain_target,1,512,DenseLinearNext,-12.177798242917365,1.9587244501169223,0.05366704160614527,0.011662978451509785,1.3192511001403062e-06,0.2686512595839589,0.0,6.556417544600133e-06,0.0010479611227791025
ablation,spring_chain_target,1,512,DirectGraphNext,-12.18034174477835,1.9569417045760742,0.053439771647044124,0.011817903803557128,-0.00013256110172976676,0.2685392579401083,0.0,0.00015971862346848015,0.0009803706331587521
ablation,spring_chain_target,1,512,SympNoGraph,-12.244780717345769,1.9845945116591341,0.05315268051034533,0.012624393406099619,0.07488422093121061,0.4737036068638817,0.0,0.4555237530782912,0.1694301865723666
ablation,spring_chain_target,1,512,GraphEuler,-12.18034174477835,1.9569417045760742,0.053439771647044124,0.011817903803557128,-0.0001328289752249301,0.26853987439988547,0.0,0.00015964007556445973,0.0009797409164318846
ablation,spring_chain_target,1,512,SG-Ham+Symp,-12.177798242917365,1.9587244501169223,0.05366704160614527,0.011662978451509785,-0.000779651819591054,0.2675242335760835,0.0,0.0013983581598659115,0.001933391827801338
