experiment,topology,seed,train_sizes,test_size,model,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
graph_size_transfer,chain,0,4+8+16,32,SG-Ham+Symp,0.0029652211438524695,0.0015816501260290786,0.0010801190546566573,0.0
graph_size_transfer,chain,0,4+8+16,64,SG-Ham+Symp,0.002933819412442612,0.0016458151114466472,0.0011002220424715646,0.0
graph_size_transfer,chain,0,4+8+16,32,DirectGraphNext,0.00022499621861143943,0.0008138606166433648,0.0005877153290295631,0.0
graph_size_transfer,chain,0,4+8+16,64,DirectGraphNext,0.00022438557190631532,0.0008464703994411907,0.0005957208944259649,0.0
graph_size_transfer,chain,0,4+8+16,32,GraphEuler,0.00022499811664920423,0.0008138091757042768,0.0005875421554777888,0.0
graph_size_transfer,chain,0,4+8+16,64,GraphEuler,0.00022438514193016235,0.0008464413732561695,0.0005955663457863123,0.0
graph_size_transfer,chain,0,4+8+16,32,SympNoGraph,0.6884340957172734,0.076937459185787,0.02729774025418414,0.0
graph_size_transfer,chain,0,4+8+16,64,SympNoGraph,0.6695528754957034,0.054074167005620344,0.01602941747464209,0.0
graph_size_transfer,grid,0,4x4,64,SG-Ham+Symp,0.0048296799637238454,0.0024571775232290435,0.0013115811921918564,0.0
graph_size_transfer,grid,0,4x4,256,SG-Ham+Symp,0.00520241694094262,0.00258901777789163,0.0013330855337594424,0.0
graph_size_transfer,grid,0,4x4,64,DirectGraphNext,0.0006649691770330126,0.0012940593622165445,0.0006297665563210051,0.0
graph_size_transfer,grid,0,4x4,256,DirectGraphNext,0.000718880752230321,0.0013534780442660535,0.000621205283454159,0.0
graph_size_transfer,grid,0,4x4,64,GraphEuler,0.0006649685184678611,0.0012940555265017965,0.0006297332019762903,0.0
graph_size_transfer,grid,0,4x4,256,GraphEuler,0.0007188768868710476,0.001353481948910766,0.0006212179116736139,0.0
graph_size_transfer,grid,0,4x4,64,SympNoGraph,0.8243027115278748,0.04815343982786056,0.040937562210629955,0.0
graph_size_transfer,grid,0,4x4,256,SympNoGraph,0.8436421869349742,0.08416616654627963,0.08219632012642036,0.0
graph_size_transfer,chain,1,4+8+16,32,SG-Ham+Symp,0.0031846556475117103,0.0017907195792883214,0.0012095023264489051,0.0
graph_size_transfer,chain,1,4+8+16,64,SG-Ham+Symp,0.0031906191435955153,0.0017335244341251687,0.0011349674825437972,0.0
graph_size_transfer,chain,1,4+8+16,32,DirectGraphNext,0.00023149168639494296,0.0008661690248463859,0.0005392289904068368,0.0
graph_size_transfer,chain,1,4+8+16,64,DirectGraphNext,0.00022582586067679294,0.0008379763148666331,0.0005032519265163135,0.0
graph_size_transfer,chain,1,4+8+16,32,GraphEuler,0.000231489891555468,0.0008661382486015147,0.0005390616285786256,0.0
graph_size_transfer,chain,1,4+8+16,64,GraphEuler,0.00022582183140373461,0.0008379485613049488,0.0005030986898494348,0.0
graph_size_transfer,chain,1,4+8+16,32,SympNoGraph,0.6918603405780591,0.060314842565741954,0.021398102608680795,0.0
graph_size_transfer,chain,1,4+8+16,64,SympNoGraph,0.6753710626735477,0.0444227414841572,0.020240002971647592,0.0
graph_size_transfer,grid,1,4x4,64,SG-Ham+Symp,0.005856205020893863,0.002452539022309145,0.0012684281815825698,0.0
graph_size_transfer,grid,1,4x4,256,SG-Ham+Symp,0.0065062385658683835,0.0029270885460130716,0.0015429619869379858,0.0
graph_size_transfer,grid,1,4x4,64,DirectGraphNext,0.0006506702591070954,0.0011698921372668804,0.0005564269005206099,0.0
graph_size_transfer,grid,1,4x4,256,DirectGraphNext,0.0007185679213807775,0.001372002047045584,0.0006453584908017755,0.0
graph_size_transfer,grid,1,4x4,64,GraphEuler,0.0006506669237785527,0.0011698881004186695,0.0005563971547509837,0.0
graph_size_transfer,grid,1,4x4,256,GraphEuler,0.000718560904346825,0.0013720069586509445,0.0006453796459456138,0.0
graph_size_transfer,grid,1,4x4,64,SympNoGraph,0.7983880211132587,0.05268205260555825,0.04816666933650653,0.0
graph_size_transfer,grid,1,4x4,256,SympNoGraph,0.8555498222726952,0.09220096670559769,0.0914710017829989,0.0
